e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Magalu,Carregador USB-C de 20W Apple Branco Original - MUVU3BZ/A,,124.9,"124,90","R$ 155,44",4.9,3174.0
Magalu,"Smartphone Samsung Galaxy S24 FE Enterprise Edition 256GB 5G 8GB RAM Grafite 6,7"" Câm. Tripla + Selfie 10MP",,2699.0,"2.699,00","R$ 5.699,00",4.9,238.0
Magalu,"Smartphone Motorola Edge 60 Fusion 256GB Rosa 5G 8GB RAM 6,7"" Câm. Dupla + Selfie 32MP",,1709.1,"1.709,10","R$ 2.999,00",4.9,688.0
Magalu,Smartphone Xiaomi Redmi Note 14 Lançamento 256GB 128GB Câmera 108MP 20MP até 12GB Ramboost AMOLED 120Hz FHD plus celular Design Premium,,1459.92,"1.459,92","R$ 4.999,99",4.8,300.0
Magalu,Carregador Turbo Tipo - C Fonte 45W + Cabo Compatível com Samsung Galaxy Carga Ultra Rápida,,42.23,"42,23","R$ 110,00",4.5,356.0
Magalu,Carregador Turbo Fonte 30w Usbc Cabo Compatível iPhone 15 15 plus 15 pro 15 16 max,,55.2,"55,20","R$ 110,00",4.3,126.0
Magalu,Relogio Smart Watch Inteligente Masculino Feminino Compatível Samsung Galaxy Xiaomi,,59.11,"59,11","R$ 85,90",3.8,302.0
Magalu,"Smartphone Motorola G56 256GB Grafite 5G 8GB de RAM 6,7"" Câm. Dupla + Selfie 32MP",,1149.0,"1.149,00","R$ 2.198,90",4.8,678.0
Magalu,Smartphone Celular Xiaomi Redmi Note 14 Lançamento 256GB 8GB Câmera 108MP 20MP Tela 6.67 AMOLED 120Hz FHD plus Design Premium Dual SIM Chip IP54 Dolby,,1232.99,"1.232,99","R$ 2.399,99",4.7,121.0
Magalu,Smartphone Samsung Galaxy A06 128GB 4G Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 14,,747.72,"747,72",N/A,4.8,291.0
Magalu,Power Bank 20Mil Carregador Portátil Carga Rápida Universal Bateria Celular Tablet,,74.1,"74,10",N/A,4.7,16.0
Magalu,"Smartphone Motorola G86 256GB Grafite 5G 16GB de RAM 6,7"" Câm. Dupla + Selfie 32MP",,1619.1,"1.619,10","R$ 2.748,90",4.8,182.0
Magalu,"Smartphone Motorola Edge 60 Pro 256GB Violeta 5G 24GB RAM 6,7"" Câm. Tripla + Selfie 50MP",,2539.0,"2.539,00","R$ 4.999,00",4.8,290.0
Magalu,"Celular Samsung Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7"", NFC",,1299.0,"1.299,00","R$ 2.099,00",4.8,710.0
Magalu,Smartphone Xiaomi POCO C71 128GB 8GB RAM BOOST Câmera dupla 50MP Celular Resistente e Poderoso com Design Premium,,786.72,"786,72","R$ 2.999,99",4.5,133.0
Magalu,TIM Chip Pré Pago sem recarga,,10.39,"10,39","R$ 12,99",4.1,303.0
Magalu,Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,,789.9,"789,90",N/A,4.7,2928.0
Magalu,Smartphone Celular Xiaomi Redmi 13c 8gb 256gb,,869.99,"869,99","R$ 1.799,90",4.5,52.0
Magalu,Smartphone Celular Xiaomi POCO C75 NFC 120Hz 256GB 8GB câmera tripla 50MP 8MP tela 6.88 120Hz Aparelho Top 1 Custo benefício Garantia 12 Meses Oficial,,1142.99,"1.142,99","R$ 1.999,99",4.6,153.0
Magalu,Smartphone Xiaomi POCO X7 5G 512GB / 256GB NFC tela Amoled 120 Hz Câmera tripla 4K 50MP OIS Desempenho Performance e Design Premium IP68,,2366.32,"2.366,32","R$ 8.999,90",4.8,89.0
Magalu,Smartphone Motorola Moto G85 5G NFC 256GB/8GB Ram Cinza,,1394.1,"1.394,10","R$ 2.439,00",4.4,24.0
Magalu,"Smartphone Samsung A07 256GB Preto 8GB RAM Tela 6,7"" Câm. Dupla + Selfie 8MP",,699.0,"699,00","R$ 1.099,00",4.9,350.0
Magalu,"Smartphone Samsung Galaxy S24 Ultra 6,8"" Galaxy AI 256GB Titânio Preto 5G 12GB RAM Câm. Quádrupla 200MP + Selfie 12MP Bateria 5000mAh Dual Chip",,4799.0,"4.799,00","R$ 9.999,00",4.8,1453.0
